service_id,date,exception_type
"623_1000000007529","20251205","1"
"623_1000000007533","20251205","1"
"623_1000000007809","20251205","1"
"623_1000000007810","20251205","1"
"623_CodUdp:D1318","20251205","1"
"623_CodUdp:D1319","20251205","1"
"623_CodUdp:D1321","20251205","1"
"623_CodUdp:D1329","20251205","1"
"623_CodUdp:D1332","20251205","1"
"623_CodUdp:D1333","20251205","1"
"623_CodUdp:D1334","20251205","1"
"623_CodUdp:D1335","20251205","1"
"623_CodUdp:D1350","20251205","1"
"623_CodUdp:D1359","20251205","1"
"623_CodUdp:D1360","20251205","1"
"623_CodUdp:D1380","20251205","1"
"623_CodUdp:D1393","20251205","1"
"623_CodUdp:D1450","20251205","1"
