route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
"JESp","ATMA","JESp","LINEA SP  CORSE SPECIALI SCOLASTICHE","3","https://www.atmaancona.it","CCCCCC","000000"
"UJ1","ATMA","UJ1","STAZIONE-V.M.OCCIDENTALI-VIA MORO-VIALE DELLA VITTORIA","3","https://www.atmaancona.it","FA8F13","000000"
"UJ2A","ATMA","UJ2A","VIA VITTORIO VENETO (ARCO CLEMENTINO)-VIA PARADISO-VIA TOGLIATTI-VIA NENNI-VIA CAVALLOTTI-VIA VITTORIO VENETO (ARCO CLEMENTINO)","3","https://www.atmaancona.it","EFEF30","000000"
"UJ2B","ATMA","UJ2B","VIA VITTORIO VENETO (ARCO CLEMENTINO)-VIA XX LUGLIO- VIA COPPI- VIA AGRARIA-VIA TOGLIATTI-VIA NENNI-VIA ROSINI-VIA COPPI- VIA XX LUGLIO-VIA ROMA-VIA VITTORIO VENETO (ARCO CLEMENTINO)","3","https://www.atmaancona.it","00FF00","000000"
"UJ3","ATMA","UJ3","PORTAVALLE-VIA GARIBALDI-VIALE DELLA VITTORIA-VIA CAVALLOTTI-ARCO CLEMENTINO-VIALE DEL LAVORO-CIMITERO-VIA GARIBALDI-PORTAVALLE","3","https://www.atmaancona.it","FFFFFF","000000"
"UJ4","ATMA","UJ4","STAZIONE-VIALE TRIESTE-PORTAVALLE-VIA S. GIUSEPPE-VIALE DELLA VITTORIA-ARCO CLEMENTINO-ARCOBALENO-STAZIONE","3","https://www.atmaancona.it","FF1466","000000"
"UJ5","ATMA","UJ5","VIA VITTORIO VENETO (ARCO CLEMENTINO)-VIA CUPRAMONTANA-VIA XX LUGLIO-VIA GRECIA-VIA VERDI-VIA GRAMSCI-VIA VITTORIO VENETO (ARCO CLEMENTINO)","3","https://www.atmaancona.it","FFFFFF","000000"
"UJ6A","ATMA","UJ6A","STAZIONE-PORTAVALLE-VIA PASQUINELLI-VIA DELL'INDUSTRIA-VIA PASTORE-VIA DON MINZONI-STAZIONE","3","https://www.atmaancona.it","FFFFFF","000000"
"UJ6B","ATMA","UJ6B","STAZIONE-PORTAVALLE-VIA SAN GIUSEPPE-VIALE DEL LAVORO-VIA BRODOLINI-VIA DELL'INDUSTRIA-VIA ANCONA-PORTAVALLE STAZIONE","3","https://www.atmaancona.it","F4F6F9","010203"
"UJ7","ATMA","UJ7","STAZIONE-VIA XXIV MAGGIO-VIALE GALLODORO-VIA ROMA-VIA BERLINGUER-VILLA SERENA-VIA BERLINGUER-VIALE GALLODORO-VIA XXIV MAGGIO-STAZIONE","3","https://www.atmaancona.it","FFFFFF","000000"
"UJ8","ATMA","UJ8","PORTAVALLE-VIALE DELLA VITTORIA-VIA ERBARELLA-VIA TOGLIATTI-VIA DEI COLLI-ERBARELLA-VIA GARIBALDI-PORTAVALLE","3","https://www.atmaancona.it","FFFFFF","000000"
"UJ9","ATMA","UJ9","STAZIONE-VIA MARCONI-BORGO MINONNA-VIA VERZIERE-VIA MARCONI-STAZIONE","3","https://www.atmaancona.it","FFFFFF","000000"
