trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"623_1000000007809_469510","13:02:00","13:02:00","CI081","1","","0","0","0"
"623_1000000007809_469510","13:02:37","13:02:37","CI082","2","","0","0","0.20825"
"623_1000000007809_469510","13:03:00","13:03:00","CI372","3","","0","0","0.33445"
"623_1000000007809_469510","13:09:00","13:09:00","CI157","4","","0","0","0.73452"
"623_1000000007809_469510","13:09:00","13:09:00","CI377","5","","0","0","0.92557"
"623_1000000007809_469510","13:10:00","13:10:00","CI285","6","","0","0","1.26747"
"623_1000000007809_469510","13:10:32","13:10:32","CI382","7","","0","0","1.56112"
"623_1000000007809_469510","13:11:00","13:11:00","CI264","8","","0","0","1.8262"
"623_1000000007809_469510","13:11:24","13:11:24","CI335","9","","0","0","2.09359"
"623_1000000007809_469510","13:12:00","13:12:00","CI047","10","","0","0","2.50853"
"623_1000000007809_469510","13:12:00","13:12:00","CI048","11","","0","0","2.69927"
"623_1000000007809_469510","13:13:00","13:13:00","CI049","12","","0","0","2.8709"
"623_1000000007809_469510","13:14:00","13:14:00","CI003","13","","0","0","2.99456"
"623_1000000007809_470508","12:50:00","12:50:00","CI009","1","","0","1","0"
"623_1000000007809_470508","12:51:18","12:51:18","CI010","2","","0","0","0.27505"
"623_1000000007809_470508","12:51:51","12:51:51","CI011","3","","0","0","0.39266"
"623_1000000007809_470508","12:53:00","12:53:00","CI211","4","","0","0","0.63396"
"623_1000000007809_470508","12:54:00","12:54:00","CI317","5","","0","0","1.00652"
"623_1000000007809_470508","12:55:13","12:55:13","CI309","6","","0","0","1.37946"
"623_1000000007809_470508","12:56:00","12:56:00","CI310","7","","0","0","1.6226"
"623_1000000007809_470508","12:56:31","12:56:31","CI318","8","","0","0","1.87756"
"623_1000000007809_470508","12:57:00","12:57:00","CI302","9","","0","0","2.1116"
"623_1000000007809_470508","12:57:40","12:57:40","CI384","10","","0","0","2.33741"
"623_1000000007809_470508","12:58:32","12:58:32","CI207","11","","0","0","2.63252"
"623_1000000007809_470508","13:00:00","13:00:00","CI177","12","","1","0","3.13521"
"623_CodUdp:D1332_365675","12:36:00","12:36:00","CI081","1","","0","0","0"
"623_CodUdp:D1332_365675","12:38:00","12:38:00","CI157","2","","0","0","0.73452"
"623_CodUdp:D1332_365675","12:41:00","12:41:00","CI264","3","","0","0","1.8262"
"623_CodUdp:D1332_365675","12:45:00","12:45:00","CI003","4","","0","0","2.88438"
"623_CodUdp:D1332_367879","13:02:00","13:02:00","CI177","1","","0","0","0"
"623_CodUdp:D1332_367879","13:03:00","13:03:00","CI178","2","","0","0","0.22075"
"623_CodUdp:D1332_367879","13:03:13","13:03:13","CI179","3","","0","0","0.42479"
"623_CodUdp:D1332_367879","13:03:23","13:03:23","CI180","4","","0","0","0.5861"
"623_CodUdp:D1332_367879","13:04:00","13:04:00","CI088","5","","0","0","1.15745"
"623_CodUdp:D1332_367879","13:05:00","13:05:00","CI089","6","","0","0","1.37788"
"623_CodUdp:D1332_367879","13:05:31","13:05:31","CI090","7","","0","0","1.61877"
"623_CodUdp:D1332_367879","13:06:00","13:06:00","CI091","8","","0","0","1.84532"
"623_CodUdp:D1332_367879","13:06:25","13:06:25","CI226","9","","0","0","2.12727"
"623_CodUdp:D1332_367879","13:06:38","13:06:38","CI309","10","","0","0","2.27306"
"623_CodUdp:D1332_367879","13:07:00","13:07:00","CI310","11","","0","0","2.5162"
"623_CodUdp:D1332_367879","13:08:05","13:08:05","CI094","12","","0","0","2.75197"
"623_CodUdp:D1332_367879","13:09:00","13:09:00","CI320","13","","0","0","2.94934"
"623_CodUdp:D1332_367879","13:09:29","13:09:29","CI189","14","","0","0","3.16715"
"623_CodUdp:D1332_367879","13:10:00","13:10:00","CI190","15","","0","0","3.39344"
"623_CodUdp:D1332_367879","13:10:24","13:10:24","CI338","16","","0","0","3.53367"
"623_CodUdp:D1332_367879","13:11:00","13:11:00","CI298","17","","0","0","3.74608"
"623_CodUdp:D1332_367879","13:11:00","13:11:00","CI256","18","","0","0","3.93759"
"623_CodUdp:D1332_367879","13:11:00","13:11:00","CI375","19","","0","0","4.33452"
"623_CodUdp:D1332_367879","13:11:00","13:11:00","CI243","20","","0","0","4.43862"
"623_CodUdp:D1332_367879","13:12:00","13:12:00","CI244","21","","0","0","4.67093"
"623_CodUdp:D1332_367879","13:12:17","13:12:17","CI245","22","","0","0","4.90313"
"623_CodUdp:D1332_367879","13:12:29","13:12:29","CI246","23","","0","0","5.07203"
"623_CodUdp:D1332_367879","13:12:43","13:12:43","CI202","24","","0","0","5.27758"
"623_CodUdp:D1332_367879","13:13:00","13:13:00","CI203","25","","0","0","5.51179"
"623_CodUdp:D1332_367879","13:13:00","13:13:00","CI373","26","","0","0","5.67193"
"623_CodUdp:D1332_367879","13:13:00","13:13:00","CI240","27","","0","0","5.93291"
"623_CodUdp:D1332_367879","13:14:00","13:14:00","CI362","28","","0","0","6.08462"
"623_CodUdp:D1332_367879","13:14:37","13:14:37","CI374","29","","0","0","6.29719"
"623_CodUdp:D1332_367879","13:15:00","13:15:00","CI238","30","","0","0","6.42731"
"623_CodUdp:D1332_367879","13:15:33","13:15:33","CI253","31","","0","0","6.70356"
"623_CodUdp:D1332_367879","13:16:00","13:16:00","CI251","32","","0","0","6.92886"
"623_CodUdp:D1332_367879","13:17:00","13:17:00","CI041","33","","0","0","7.4607"
"623_CodUdp:D1332_367879","13:18:00","13:18:00","CI301","34","","0","0","7.72787"
"623_CodUdp:D1332_367879","13:19:00","13:19:00","20423","35","","0","0","7.93885"
"623_CodUdp:D1332_367879","13:20:00","13:20:00","20424","36","","0","0","8.50009"
"623_CodUdp:D1332_367879","13:24:00","13:24:00","CI047","37","","0","0","9.19465"
"623_CodUdp:D1332_367879","13:25:00","13:25:00","CI048","38","","0","0","9.38539"
"623_CodUdp:D1332_367879","13:26:00","13:26:00","CI049","39","","0","0","9.55702"
"623_CodUdp:D1332_367879","13:27:00","13:27:00","CI003","40","","0","0","9.68068"
