stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
"20417","20417","JESI  (MINONNA)","43.50941342","13.26016737","0","",""
"20420","20420","JESI (AUTOSTAZIONE)","43.52299888","13.2486353","0","","1"
"20423","20423","V.LE VITTORIA - EX DISCO ROSSO","43.5206455","13.23816446","0","",""
"20424","20424","JESI VIALE DELLA VITTORIA - MERCANTINI","43.52414814","13.24315124","0","",""
"20648","20648","JESI V.LE VITTORIA PONTE","43.52368379","13.24251516","0","",""
"21054","21054","JESI - ARCO CLEMENTINO","43.51844112","13.23505809","0","",""
"5056","5056","SP 76 PANTIERE (VILLA SERENA)","43.50606936","13.18363925","0","",""
"CI001","CI001","STAZIONE FS - CAPOLINEA","43.52080555","13.25151988","0","","1"
"CI002","CI002","VIALE TRIESTE","43.5217206","13.24835986","0","",""
"CI003","CI003","PORTAVALLE","43.52324141","13.24819241","0","",""
"CI004","CI004","VIA DELLA GRANITA","43.52526157","13.25028056","0","",""
"CI005","CI005","VIA SAN GIUSEPPE","43.52628684","13.25108619","0","",""
"CI006","CI006","VIA GARIBALDI","43.52741526","13.24774955","0","",""
"CI007","CI007","VIA GARIBALDI - VIA VOLTURNO","43.52652248","13.24589757","0","",""
"CI008","CI008","VIA NAZARIO SAURO","43.52466512","13.24455932","0","",""
"CI009","CI009","VIA MURA OCCIDENTALI","43.52226778","13.24206751","0","",""
"CI010","CI010","VIA MURA OCCIDENTALI - POSTE","43.52084413","13.23936817","0","",""
"CI011","CI011","VIA MURA OCCIDENTALI - CIRO","43.52005536","13.2384322","0","",""
"CI013","CI013","VIA ROMA - ARCI","43.51592735","13.23436739","0","",""
"CI014","CI014","VIA ROMA - EX MORRICONI","43.513475","13.23328214","0","",""
"CI015","CI015","VIA ROMA - BAR","43.51158249","13.23020003","0","",""
"CI018","CI018","VIA ROMA - VIA BOSI","43.50863841","13.22370192","0","",""
"CI019","CI019","VIA ROMA - DAVANTI BAR PARÒ","43.50727296","13.21888751","0","",""
"CI020","CI020","VIA ROMA - BIVIO CINGOLI","43.50593341","13.21185244","0","",""
"CI021","CI021","VIA ROMA - MONTE SCHIAVO","43.50621767","13.20438343","0","",""
"CI022","CI022","VIA ROMA - MAGACI","43.50640038","13.19597237","0","",""
"CI023","CI023","VIA ROMA - BIVIO PANTIERE","43.50622095","13.18520627","0","",""
"CI024","CI024","VILLA SERENA","43.50816201","13.18227857","0","",""
"CI025","CI025","VIA PANTIERE - BIVIO","43.50556138","13.18534664","0","",""
"CI026","CI026","VIA PANTIERE - IMP. SPORTIVI","43.50296543","13.18715617","0","",""
"CI030","CI030","VIA ROMA - FRONTE MAGACI","43.50626895","13.19591752","0","",""
"CI031","CI031","VIA ROMA - MONTE SCHIAVO","43.5060493","13.20455542","0","",""
"CI033","CI033","VIA ROMA - BAR PARÒ","43.50714009","13.21907659","0","",""
"CI034","CI034","VIA ROMA - VIA BERLINGUER","43.50789431","13.22239825","0","",""
"CI037","CI037","VIA ROMA - LAVATOIO","43.51202194","13.2316049","0","",""
"CI038","CI038","VIA ZARA - CHIESA","43.51201435","13.23286083","0","",""
"CI039","CI039","VIA ROMA - VIA ASIAGO","43.51395878","13.23370723","0","",""
"CI040","CI040","VIA ROMA - XX SETTEMBRE","43.51555099","13.23419278","0","",""
"CI041","CI041","C.SO MATTEOTTI - ARCO","43.51802739","13.23567023","0","",""
"CI047","CI047","VIA DEL SETIFICIO","43.52561233","13.24819773","0","",""
"CI048","CI048","VIA XXIV MAGGIO - CASA DEL POPOLO","43.52406077","13.24922475","0","",""
"CI049","CI049","VIA G. ACQUA - AUTOSTAZIONE","43.52296075","13.24908496","0","","1"
"CI050","CI050","VIALE TRIESTE","43.52165172","13.24827215","0","",""
"CI051","CI051","VIA M. RICCI - MULTISALA","43.51952571","13.25408714","0","",""
"CI052","CI052","MAZZANGRUGNO","43.52950577","13.31706382","0","",""
"CI053","CI053","VIA M. RICCI - MTA","43.51774961","13.25369568","0","",""
"CI054","CI054","VIA MAZZANGRUGNO","43.5269129","13.3118922","0","",""
"CI055","CI055","2^ VIA MAZZANGRUGNO","43.52287989","13.2982822","0","",""
"CI056","CI056","VIA MUSONE","43.50950498","13.26033459","0","",""
"CI057","CI057","VIA MARCONI - PONTE ESINO","43.51224893","13.25693522","0","",""
"CI058","CI058","VIA MARCONI - METANO","43.51469811","13.2539913","0","",""
