route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"JESp","623_1000000007809","623_1000000007809_469510","JESI (Autostazione)","1","469510","2000018878","",""
"JESp","623_1000000007809","623_1000000007809_470508","edie Leopardi","0","470508","2971484376","",""
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_365675","JESI (Autostazione)","1","3008","1442981609","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367879","Stazione F.S.","1","3008","3012117676","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367880","JESI (Autostazione)","1","3001","2116582354","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367881","JESI (Autostazione)","1","3014","2000018878","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367882","JESI (Autostazione)","1","3004","2000018878","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367883","JESI (Autostazione)","1","3009","2000018878","2","2"
"JESp","623_CodUdp:D1332","623_CodUdp:D1332_367885","Via della Granita","1","3010","2475672740","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_469508","JESI (Autostazione)","1","J3006","1442981609","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_469509","Via della Granita","1","J3010","2475672740","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_469511","JESI (Autostazione)","1","J3002","2000018878","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_469512","JESI (Autostazione)","1","J3001","2000018878","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470500","JESI (Autostazione)","1","J3011","2000018878","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470501","JESI (Autostazione)","1","J3008","2000018878","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470502","Stazione F.S.","1","J3014","3012117676","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470503","Borgo Minonna","0","J3004","22684178","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470504","Mura Occidentali","0","J3009","3189099119","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470505","Mura Occidentali","0","J3016","3189099119","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470506","Via La Malfa","0","J3007","3762290087","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470507","Porta Valle","0","J3014","130370136","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470509","","0","J3005","63035182","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470510","Portavalle","0","J3014","2910797372","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470511","Stazione FS","0","J3008","3241395534","2","2"
"JESp","623_CodUdp:D1450","623_CodUdp:D1450_470512","V.Fermi","0","J3006","380696952","2","2"
